{{2, 1}, {2, 4}, {4, 6}, {6, 3}, {3, 5}, {5, 11}, {11, 9}, {9, 7}, {7, 12}, {12, 10}, {10, 8}}
{{2, 1}, {2, 4}, {4, 6}, {6, 3}, {3, 5}, {5, 11}, {11, 10}, {10, 8}, {8, 12}, {12, 9}, {9, 7}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 8}, {8, 10}, {9, 11}, {11, 5}, {5, 3}, {3, 6}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 8}, {8, 10}, {10, 11}, {11, 5}, {5, 3}, {3, 6}}
{{2, 1}, {2, 4}, {4, 6}, {6, 5}, {5, 3}, {3, 8}, {8, 7}, {7, 9}, {5, 10}, {10, 12}, {12, 11}}
{{2, 1}, {2, 4}, {4, 6}, {6, 5}, {5, 3}, {3, 8}, {8, 10}, {10, 11}, {11, 12}, {12, 9}, {9, 7}}
{{2, 1}, {2, 4}, {4, 9}, {9, 11}, {11, 10}, {10, 12}, {12, 7}, {7, 8}, {8, 3}, {3, 5}, {5, 6}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 11}, {11, 10}, {10, 8}, {8, 3}, {3, 5}, {5, 6}}
{{2, 1}, {2, 4}, {4, 11}, {11, 10}, {10, 12}, {12, 9}, {9, 7}, {7, 8}, {8, 3}, {3, 5}, {5, 6}}
{{2, 1}, {2, 4}, {4, 11}, {11, 9}, {9, 7}, {7, 12}, {12, 10}, {10, 8}, {8, 3}, {3, 5}, {5, 6}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 8}, {8, 12}, {12, 11}, {11, 10}, {10, 3}, {3, 5}, {5, 6}}
{{2, 1}, {2, 4}, {4, 9}, {9, 11}, {11, 12}, {12, 7}, {7, 8}, {8, 10}, {10, 3}, {3, 5}, {5, 6}}
{{2, 1}, {2, 4}, {4, 6}, {6, 3}, {3, 8}, {8, 10}, {10, 5}, {5, 11}, {11, 12}, {12, 9}, {9, 7}}
{{2, 1}, {2, 4}, {4, 6}, {6, 3}, {3, 8}, {8, 12}, {12, 10}, {10, 5}, {5, 11}, {11, 9}, {9, 7}}
{{2, 1}, {2, 4}, {4, 9}, {4, 11}, {11, 5}, {5, 10}, {10, 8}, {8, 3}, {3, 6}, {10, 12}, {12, 7}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 8}, {8, 3}, {3, 6}, {6, 5}, {5, 10}, {10, 11}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 11}, {11, 10}, {10, 5}, {5, 6}, {6, 3}, {3, 8}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 11}, {11, 5}, {5, 10}, {10, 8}, {8, 3}, {3, 6}}
{{2, 1}, {2, 4}, {4, 11}, {11, 9}, {9, 7}, {7, 12}, {12, 10}, {10, 5}, {5, 6}, {6, 3}, {3, 8}}
{{2, 1}, {2, 4}, {4, 11}, {11, 10}, {10, 5}, {5, 6}, {6, 3}, {3, 8}, {8, 12}, {12, 9}, {9, 7}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 8}, {8, 10}, {10, 3}, {3, 6}, {6, 5}, {5, 11}}
{{2, 1}, {2, 4}, {4, 9}, {9, 7}, {7, 12}, {12, 11}, {11, 5}, {5, 6}, {6, 3}, {3, 10}, {10, 8}}
{{2, 1}, {2, 4}, {4, 11}, {11, 5}, {5, 6}, {6, 3}, {3, 10}, {10, 8}, {8, 12}, {12, 9}, {9, 7}}
{{2, 1}, {2, 4}, {4, 6}, {6, 5}, {5, 11}, {11, 10}, {10, 3}, {3, 8}, {8, 12}, {12, 9}, {9, 7}}
{{2, 1}, {2, 6}, {6, 4}, {6, 5}, {5, 10}, {10, 3}, {3, 8}, {2, 7}, {7, 12}, {12, 9}, {9, 11}}
{{2, 1}, {2, 6}, {6, 4}, {2, 7}, {7, 12}, {12, 9}, {9, 11}, {11, 10}, {10, 3}, {3, 8}, {10, 5}}
{{2, 1}, {2, 6}, {6, 3}, {3, 5}, {5, 4}, {4, 9}, {9, 7}, {7, 8}, {8, 12}, {12, 11}, {11, 10}}
{{2, 1}, {2, 6}, {6, 3}, {3, 5}, {5, 4}, {4, 9}, {9, 11}, {11, 10}, {10, 12}, {12, 7}, {7, 8}}
{{2, 1}, {2, 6}, {6, 3}, {3, 5}, {5, 4}, {4, 11}, {11, 9}, {9, 7}, {7, 12}, {12, 10}, {10, 8}}
{{2, 1}, {2, 6}, {6, 3}, {3, 5}, {5, 10}, {10, 11}, {11, 4}, {4, 9}, {9, 12}, {12, 7}, {7, 8}}
{{2, 1}, {2, 6}, {6, 5}, {5, 4}, {4, 9}, {9, 7}, {7, 8}, {8, 3}, {3, 10}, {10, 12}, {12, 11}}
{{2, 1}, {2, 6}, {6, 5}, {5, 4}, {4, 9}, {9, 11}, {11, 10}, {10, 3}, {3, 8}, {8, 12}, {12, 7}}
{{2, 1}, {2, 6}, {6, 4}, {4, 9}, {9, 11}, {11, 5}, {5, 10}, {10, 3}, {3, 8}, {8, 12}, {12, 7}}
{{2, 1}, {2, 6}, {6, 5}, {5, 4}, {4, 9}, {9, 11}, {11, 12}, {12, 7}, {7, 8}, {8, 10}, {10, 3}}
